site_id,floor_id,track_id,duration,length
5d27075f03f801723c2e360f,F1,5da9a29918410e00067e67b0,32.144,39.80489871353826
5d27075f03f801723c2e360f,F1,5dde639429163b0006be6891,121.158,112.53488744709708
5d27075f03f801723c2e360f,F1,5da6dc6dab074400064324b2,37.826,38.88846994396597
5d27075f03f801723c2e360f,F1,5da6d2a10593fc0006699f8a,143.416,144.05381714645355
5d27075f03f801723c2e360f,F1,5da6f5590593fc000669a1a9,111.834,84.67882088587437
5d27075f03f801723c2e360f,F1,5da6d2950593fc0006699f88,38.649,43.02855163424354
5d27075f03f801723c2e360f,F1,5dc12ae1bce0a000068ae76a,78.356,76.55023996245106
5d27075f03f801723c2e360f,F1,5da9a21fdf065a00069be713,82.712,80.34970368428371
5d27075f03f801723c2e360f,F1,5da9a36618410e00067e67be,59.407,72.95274092977598
5d27075f03f801723c2e360f,F1,5da6f576ab0744000643268f,54.875,41.9906745169153
5d27075f03f801723c2e360f,F1,5da6e6af0593fc000669a132,41.937,30.353829638655306
5d27075f03f801723c2e360f,F1,5da6d281ab0744000643241a,211.163,188.33372631117615
5d27075f03f801723c2e360f,F1,5da6d2a4ab07440006432428,218.629,197.24783868096654
5d27075f03f801723c2e360f,F1,5dc12cfa4526c70006cc7a2b,45.137,29.041112190897497
5d27075f03f801723c2e360f,F1,5da6d28f0593fc0006699f84,39.249,37.14642663948784
5d27075f03f801723c2e360f,F1,5da6f552ab07440006432677,73.203,58.896930652196914
5d27075f03f801723c2e360f,F1,5da6d2aeab07440006432430,46.604,50.89448425260684
5d27075f03f801723c2e360f,F1,5dde63b05483f600068d381f,36.05,41.706804166309595
5d27075f03f801723c2e360f,F1,5da6f562ab0744000643267d,194.906,123.17357833765564
5d27075f03f801723c2e360f,F1,5dde63ab5483f600068d3817,58.511,51.16215156786961
5d27075f03f801723c2e360f,F1,5da6f554ab07440006432679,63.188,41.89885911113921
5d27075f03f801723c2e360f,F1,5da6f56bab07440006432685,59.985,52.108470243426574
5d27075f03f801723c2e360f,F1,5dc130994526c70006cc7a59,53.709,36.584731115109406
5d27075f03f801723c2e360f,F1,5da9a52418410e00067e67cc,34.115,33.09072085214041
5d27075f03f801723c2e360f,F1,5da6dcdc0593fc000669a00b,114.058,105.39203942099101
5d27075f03f801723c2e360f,F1,5da6dd04ab074400064324c4,49.186,49.84529894683592
5d27075f03f801723c2e360f,F1,5dc129eebce0a000068ae75c,32.263,27.42076581249873
5d27075f03f801723c2e360f,F1,5da6c219ab07440006432352,116.295,104.29983946026123
5d27075f03f801723c2e360f,F1,5da6dc74ab074400064324b4,192.938,182.53995243327938
5d27075f03f801723c2e360f,F1,5dc12e354526c70006cc7a3d,45.407,28.21453365069958
5d27075f03f801723c2e360f,F1,5da9a1eedf065a00069be70d,36.99,31.886334229066534
5d27075f03f801723c2e360f,F1,5da6e6ab0593fc000669a12e,159.269,139.36185919025232
5d27075f03f801723c2e360f,F1,5da9a52018410e00067e67c4,31.499,43.147937491748365
5d27075f03f801723c2e360f,F1,5da6f547ab0744000643266d,215.094,104.26049320776896
5d27075f03f801723c2e360f,F1,5da6e6970593fc000669a123,56.237,34.13096767608593
5d27075f03f801723c2e360f,F1,5da6e6a6ab074400064325ca,56.662,52.10614943954451
5d27075f03f801723c2e360f,F1,5da6c04caee18f0006a0ef18,61.533,62.59276899568267
5d27075f03f801723c2e360f,F1,5da6d292ab07440006432422,142.499,113.746458111869
5d27075f03f801723c2e360f,F1,5da6d2830593fc0006699f80,53.847,43.9162957097563
5d27075f03f801723c2e360f,F1,5da6dced0593fc000669a011,185.835,182.26295268076913
5d27075f03f801723c2e360f,F1,5da6dcf60593fc000669a013,228.933,180.3547716284878
5d27075f03f801723c2e360f,F1,5da6d27aab07440006432418,33.086,34.10020293275815
